title,oldUrl,category,action,targetPath,contentType,persona
Progress bar,/t/x2h9q1b/progress-bar,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Email connector,/t/q6h4akq/email-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/email-connector,reference,citizen-developer
Master details,/t/m1h9q12/master-details,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Loop action in control connector,/t/p8h4al4/adding-conditions-and-iterations,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/adding-conditions-and-iterations,reference,citizen-developer
IFrame,/t/60h9q1r/iframe,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Card,/t/g9h9q15/card,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Scheduler by Kissflow,/t/q6h4af8/scheduler-by-kissflow,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/scheduler-by-kissflow,reference,citizen-developer
Hyperlink,/t/p8h9q1j/hyperlink,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
HTTP connector,/t/p8h4aky/http-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/http-connector,reference,citizen-developer
Popup,/t/h7h9q1g/popup,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
SOAP connector,/t/g9h4afm/soap-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/soap-connector,reference,citizen-developer
Working with page editor,/t/q6h9q1p/working-with-page-editor,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Webhooks by Kissflow,/t/60h4af5/webhooks-by-kissflow,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/webhooks-by-kissflow,reference,citizen-developer
Xero connector,/t/g9yqvbc/xero-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/xero-connector,reference,citizen-developer
Managing component style properties,/t/35h9q11/managing-component-style-properties,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
"Renaming, duplicating, and editing pages",/t/x2h9q1k/renaming-duplicating-and-editing-pages,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Managing page properties,/t/m1h9q1f/managing-page-properties,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Recruitee connector,/t/35h4afv/recruitee-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/recruitee-connector,reference,citizen-developer
DocuSign connector,/t/y4h4af9/docusign-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/docusign-connector,reference,citizen-developer
Creating and editing pages,/t/60h9q1l/creating-and-editing-pages,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
App pages overview,/t/g9h9q1z/app-pages-overview,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,overview,shared
Smartsheet connector,/t/x2h4afc/smartsheet-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/smartsheet-connector,reference,citizen-developer
Microsoft SharePoint connector,/t/m1h4afa/microsoft-sharepoint-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-sharepoint-connector,reference,citizen-developer
Model viewer,/t/p8h9q1t/model-viewer,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Boards overview,/t/h7h9q1m/boards-overview,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,overview,shared
HubSpot connector,/t/p8h4afs/hubspot-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/hubspot-connector,reference,citizen-developer
Creating and customizing a board form,/t/q6h9q16/creating-and-customizing-a-board-form,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
ServiceNow connector,/t/q6h4afn/servicenow-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/servicenow-connector,reference,citizen-developer
Managing board roles and permissions,/t/35h9q18/managing-board-roles-and-permissions,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Board settings,/t/y4h9q1x/case-form-settings,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Microsoft Outlook connector,/t/y4h4afd/microsoft-outlook-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-outlook-connector,reference,citizen-developer
Salesforce connector,/t/83h4afb/salesforce-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/salesforce-connector,reference,citizen-developer
Exporting data from a data table view,/t/83h9q13/exporting-data-from-a-data-table-view,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Gmail connector,/t/x2h4af2/integrate-with-gmail,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/integrate-with-gmail,reference,citizen-developer
Charts in boards,/t/p8h9qlw/charts-in-boards,Product Documentation / 📒 User guide / Boards / Reports in Boards / Custom reports in boards,migrate,build/boards/charts-in-boards,guide,citizen-developer
Adobe Sign connector,/t/p8h4afj/adobe-sign-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/adobe-sign-connector,reference,citizen-developer
Tabular reports in boards,/t/h7h9qld/tabular-reports-in-boards,Product Documentation / 📒 User guide / Boards / Reports in Boards / Custom reports in boards,migrate,build/boards/tabular-reports-in-boards,guide,citizen-developer
Google Calendar connector,/t/h7h4afg/google-calendar-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/google-calendar-connector,reference,citizen-developer
Overview of custom reports in boards,/t/q6h9qlb/overview-of-custom-reports-in-boards,Product Documentation / 📒 User guide / Boards / Reports in Boards / Custom reports in boards,migrate,build/boards/overview-of-custom-reports-in-boards,overview,citizen-developer
ActiveCampaign connector,/t/q6h4afp/activecampaign-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/activecampaign-connector,reference,citizen-developer
Pivot tables in boards,/t/35h9ql2/pivot-tables-in-boards,Product Documentation / 📒 User guide / Boards / Reports in Boards / Custom reports in boards,migrate,build/boards/pivot-tables-in-boards,guide,citizen-developer
Salesmate connector,/t/35h4af1/salesmate-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/salesmate-connector,reference,citizen-developer
Microsoft OneDrive connector,/t/y4h4afk/microsoft-onedrive-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-onedrive-connector,reference,citizen-developer
Configuring actions for process form steps,/t/83h9qk0/configuring-actions-for-process-form-steps,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
XE.com connector,/t/83h4aff/xe-com,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/xe-com,reference,citizen-developer
Process form overview,/t/x2h9qks/process-form-overview,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,overview,shared
MailChimp connector,/t/x2h4afl/mailchimp-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/mailchimp-connector,reference,citizen-developer
QuickBooks connector,/t/m1h4afz/quickbooks-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/quickbooks-connector,reference,citizen-developer
Creating a process form,/t/60h9qk7/creating-a-process-form,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Container,/t/q6yzj4n/container,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/container,reference,citizen-developer
Creating a process form workflow,/t/g9h9qkn/creating-a-process-form-workflow,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Expensify connector,/t/60h4aft/expensify-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/expensify-connector,reference,citizen-developer
Label,/t/g9yzj40/label,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/label,reference,citizen-developer
FreshBooks connector,/t/h7h4af6/freshbooks-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/freshbooks-connector,reference,citizen-developer
Managing process roles and permissions,/t/p8h9qkw/managing-process-roles-and-permissions,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Button,/t/x2yzj42/button,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/button,reference,citizen-developer
Generating PDF templates,/t/h7h9qkd/generating-pdf-templates,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
"Text, Text area, Email, and Rich text fields",/t/p8h4az5/text-text-area-email-and-rich-text-fields,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/text-text-area-email-and-rich-text-fields,reference,citizen-developer
Okta connector,/t/35h4afx/okta-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/okta-connector,reference,citizen-developer
Icon,/t/p8yzj4m/icon,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/icon,reference,citizen-developer
Creating and managing dataforms,/t/35yzjag/creating-and-managing-dataforms,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/creating-and-managing-dataforms,guide,citizen-developer
Group management,/t/y4h4akj/group-management,Product Documentation / 📒 User guide / Account management / User and group management / Group management,migrate,admin/users/group-management,guide,admin
Process form settings,/t/q6h9qkb/process-form-settings,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
"Image, Attachment, Smart attachment, and Signature fields",/t/y4h4az1/image-attachment-smart-attachment-and-signature-fields,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/image-attachment-smart-attachment-and-signature-fields,reference,citizen-developer
Twilio connector,/t/y4h4af3/twilio-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/twilio-connector,reference,citizen-developer
Introduction to expressions and formulas,/t/q6h4alh/introduction-to-expressions-and-formulas,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/introduction-to-expressions-and-formulas,reference,citizen-developer
App builder overview,/t/m1yzj9p/app-builder-overview,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/app-builder-overview,overview,citizen-developer
Card,/t/35yzj4v/card,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/card,reference,citizen-developer
Importing data from CSV file,/t/q6yzjaj/importing-data-from-csv-file,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/importing-data-from-csv-file,guide,citizen-developer
Public form,/t/35h9qk2/public-form,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Lookup field,/t/g9h4azr/lookup-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/lookup-field,reference,citizen-developer
Computing fields using Formula Builder,/t/35h4alz/computing-fields-using-formula-builder,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/computing-fields-using-formula-builder,reference,citizen-developer
Dropbox connector,/t/83h4afy/dropbox-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/dropbox-connector,reference,citizen-developer
App pages overview,/t/60yzj91/app-pages-overview,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/app-pages-overview,overview,citizen-developer
Progress bar,/t/m1yzj4c/progress-bar,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/progress-bar,reference,citizen-developer
Data table view,/t/g9yzja2/data-table-view,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/data-table-view,guide,citizen-developer
Decision tables overview,/t/60yxblt/decision-tables-overview,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/decision-tables-overview,overview,citizen-developer
Introduction to external data objects,/t/60y3mhj/introduction-to-external-data-objects,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/introduction-to-external-data-objects,overview,citizen-developer
Account governance overview,/t/x2hvt75/account-governance-overview,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/account-governance-overview,overview,admin
Reports,/t/y4h9qkr/reports,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
User field,/t/h7h4azj/user-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/user-field,reference,citizen-developer
Kissflow Dataform connector,/t/m1h9qfb/kissflow-dataform-connector,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/kissflow-dataform-connector,guide,citizen-developer
Simulating a workflow,/t/y4h9qty/simulating-a-workflow,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/simulating-a-workflow,guide,citizen-developer
Slack connector,/t/x2h4afh/slack-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/slack-connector,reference,citizen-developer
System fields,/t/83h4alt/system-fields,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/system-fields,reference,citizen-developer
Creating and editing pages,/t/g9yzj9k/creating-and-editing-pages,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/creating-and-editing-pages,guide,citizen-developer
Image,/t/h7yzj47/image,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/image,reference,citizen-developer
Gallery view,/t/m1yzjad/gallery-view,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/gallery-view,guide,citizen-developer
Where are decision tables used?,/t/p8yxblg/where-are-decision-tables-used,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/where-are-decision-tables-used,guide,citizen-developer
Setting up an external data connection,/t/x2y3mhr/setting-up-an-external-data-connection,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/setting-up-an-external-data-connection,guide,citizen-developer
User governance,/t/h7hvts5/user-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/user-governance,guide,admin
Creating and managing subitems,/t/q6h9qlf/creating-and-managing-subitems,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/creating-and-managing-subitems,guide,end-user
Making a process workflow,/t/m1h9qmv/making-a-process-workflow,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/making-a-process-workflow,guide,citizen-developer
Creating an App integration,/t/p8h9qk1/creating-an-app-integration,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Dataforms overview,/t/m1h9q1y/dataforms-overview,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/dataforms-overview,overview,citizen-developer
Google Sheets connector,/t/m1h4afq/google-sheets-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/google-sheets-connector,reference,citizen-developer
Text expressions,/t/m1h4al6/text-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/text-expressions,reference,citizen-developer
"Number, Slider, and Rating field",/t/60h4az2/number-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/number-field,reference,citizen-developer
"Renaming, duplicating, and editing pages",/t/35yzj9t/renaming-duplicating-and-editing-pages,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/renaming-duplicating-and-editing-pages,guide,citizen-developer
Managing page properties,/t/q6yzj9z/managing-page-properties,Product Documentation / 📒 User guide / Apps / Building apps / Pages,migrate,build/pages/managing-page-properties,guide,citizen-developer
Hyperlink,/t/h7yzj9h/hyperlink,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/hyperlink,reference,citizen-developer
Process overview,/t/g9yzjcd/process-overview,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/process-overview,overview,citizen-developer
Sheet view in dataforms,/t/x2yzjaw/sheet-view-in-dataforms,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/sheet-view-in-dataforms,guide,citizen-developer
Creating a decision table,/t/h7yxblw/creating-a-decision-table,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/creating-a-decision-table,guide,citizen-developer
Configuring an external data object,/t/h7y3mhw/configuring-an-external-data-object,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/configuring-an-external-data-object,guide,citizen-developer
Creating AI-suggested workflow and steps,/t/60hv9mr/creating-ai-suggested-workflow-and-steps,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/creating-ai-suggested-workflow-and-steps,guide,citizen-developer
Group governance,/t/60hvts2/group-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/group-governance,guide,admin
Using chats,/t/q6h9ql4/using-chats,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Using board layouts,/t/60h9qlm/using-board-layouts,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/using-board-layouts,guide,end-user
"Publishing, editing, duplicating, archiving, and deleting a process",/t/y4h9qtb/publishing-editing-duplicating-archiving-and-deleting-a-process,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/publishing-editing-duplicating-archiving-and-deleting-a-process,guide,admin
Product FAQs,/t/h7h9qzq/product-faqs,Product Documentation / 🔎 Quick references / Frequently asked questions,migrate,reference/faq/product-faqs,reference,shared
App integration overview,/t/h7h9qkk/app-integration-overview,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,overview,shared
Microsoft Teams connector,/t/60h4alv/microsoft-teams-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/microsoft-teams-connector,reference,citizen-developer
Basic and advanced fields,/t/y4h4azv/basic-and-advanced-fields,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/basic-and-advanced-fields,reference,citizen-developer
Creating and managing dataforms,/t/q6h9qk4/creating-and-managing-dataforms,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/creating-and-managing-dataforms-alt2,guide,citizen-developer
Number and currency expressions,/t/g9h4alx/number-and-currency-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/number-and-currency-expressions,reference,citizen-developer
Creating a process inside apps,/t/60yzjcw/creating-a-process-inside-apps,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/creating-a-process-inside-apps,guide,citizen-developer
Managing members and permissions,/t/m1h4alg/managing-members-and-permissions,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/managing-members-and-permissions,guide,admin
IFrame,/t/y4yzj49/iframe,Product Documentation / 📒 User guide / Apps / Building apps / Components,migrate,build/components/iframe,reference,citizen-developer
Creating a process workflow,/t/m1yzjcn/creating-a-process-workflow,Product Documentation / 📒 User guide / Apps / Building apps / Processes in apps,migrate,build/processes/creating-a-process-workflow,guide,citizen-developer
Auto-generating dataform records,/t/83yzjcq/auto-generating-dataform-records,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms in apps,migrate,build/forms/auto-generating-dataform-records,guide,citizen-developer
Creating conditions and results,/t/x2yxbla/creating-conditions-and-results,Product Documentation / 📒 User guide / Decision tables / Decision tables for Kissflow Apps,migrate,build/decision-tables/creating-conditions-and-results,guide,citizen-developer
Data backup overview,/t/83y3mfp/data-backup-overview,Product Documentation / 📒 User guide / Account management / Account settings / Admin settings / Data backup,migrate,admin/data-backup/data-backup-overview,overview,admin
Editing an external data object,/t/g9y3myh/editing-an-external-data-object,Product Documentation / 📒 User guide / Apps / Building apps / External data object,migrate,build/external-data/editing-an-external-data-object,guide,citizen-developer
AI-suggested fields,/t/y4yqkrg/ai-suggested-fields,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Fields,migrate,build/forms/ai-suggested-fields,reference,citizen-developer
Use case for timeline layout,/t/35hvrpc/use-case-for-timeline-layout,Product Documentation / 📒 User guide / Boards / Using boards,migrate,use/boards/use-case-for-timeline-layout,guide,end-user
Process governance,/t/m1hvtsb/process-governance,Product Documentation / 📒 User guide / Account management / Account governance / Account governance,migrate,admin/governance/process-governance,guide,admin
Reports overview,/t/35h9qzj/reports-overview,Product Documentation / 📒 User guide / Analytics / Reports in analytics,migrate,build/analytics/reports-overview,overview,citizen-developer
Board metrics overview,/t/p8h9ql1/board-metrics-overview,Product Documentation / 📒 User guide / Boards / Reports in Boards / Board metrics,migrate,build/boards/board-metrics-overview,reference,citizen-developer
Duplicating and deleting a dataset,/t/60h4alp/duplicating-and-deleting-a-dataset,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/duplicating-and-deleting-a-dataset,guide,admin
Document templates,/t/x2h9qtr/document-templates,Product Documentation / 📒 User guide / Processes / Administering processes,migrate,admin/processes/document-templates,guide,admin
Scanner field,/t/83h4azd/scanner-field,Product Documentation / 📒 User guide / Forms & Expressions / Fields / Field types,migrate,build/forms/field-types/scanner-field,reference,citizen-developer
Threaded replies,/t/83h9qla/threaded-replies,Product Documentation / 📒 User guide / Chats & Spaces / Chat,archive,,guide,shared
Process overview,/t/h7h4a18/process-overview,Product Documentation / 📒 User guide / Processes / Processes,migrate,build/processes/process-overview-alt2,overview,citizen-developer
Importing data from CSV file,/t/h7h9qk9/importing-data-from-csv-file,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/importing-data-from-csv-file-alt2,guide,citizen-developer
Introduction to Kissflow Apps,/t/x2h9qkj/introduction-to-kissflow-apps,Product Documentation / 📒 User guide / Apps / Introduction to Kissflow Apps,migrate,build/apps/introduction-to-kissflow-apps,overview,citizen-developer
Managing app integration,/t/q6h9qkf/managing-app-integration,Product Documentation / 📒 User guide / Apps / Building apps / Building & Deploying Apps (old),skip-legacy,,guide,shared
Kissflow Project connector,/t/g9h4al9/kissflow-project-connector,Product Documentation / 📒 User guide / Integrations / Connectors,migrate,build/integrations/connectors/kissflow-project-connector,reference,citizen-developer
User expressions,/t/h7h4alf/user-expressions,Product Documentation / 📒 User guide / Forms & Expressions / Expressions,migrate,build/expressions/user-expressions,reference,citizen-developer
Assigning steps,/t/q6h9qt3/assigning-steps,Product Documentation / 📒 User guide / Processes / Process workflows,migrate,build/processes/workflow-design/assigning-steps,guide,citizen-developer
Managing dataform roles,/t/35h9qkc/managing-dataform-roles,Product Documentation / 📒 User guide / Apps / Building apps / Dataforms (old),merge,build/forms/managing-dataform-roles,guide,citizen-developer
Security settings and access control,/t/83h4al5/security-settings-and-access-control,Product Documentation / 📒 User guide / Datasets / Administering datasets,migrate,admin/datasets/security-settings-and-access-control,guide,admin
